BALEARIC,Period,Year,season,LAT,LONG,effort,front_distance,front_dens,gradient,BATIMETRY,DIST,CHL,CHLchange,CHLgrad,SST,SSTchange,SSTgrad,SSTanomaly,SSH
0,13,2009,1,36.04,-6.52,0,9.00,0.03,47.77,381.00,45399.49,0.22,-80.31,60.89,18.29,-28.24,4.53,-0.65,0.04
0,13,2009,1,36.04,-6.49,0,8.33,0.03,71.08,289.00,42949.96,0.25,-70.24,59.35,18.23,-27.43,4.19,-0.64,0.04
0,13,2009,1,36.04,-6.45,0,8.00,0.03,71.08,191.00,40606.51,0.31,-66.31,58.91,18.13,-27.03,3.90,-0.44,0.04
0,13,2009,1,36.07,-6.59,0,9.66,0.02,28.64,426.00,48388.52,0.21,-87.29,39.52,18.38,-28.29,3.46,-0.60,0.04
0,13,2009,1,36.07,-6.56,1,9.11,0.03,47.77,389.00,45642.37,0.23,-84.06,51.72,18.34,-28.79,4.65,-0.55,0.04
0,13,2009,1,36.11,-6.70,0,11.00,0.02,14.03,593.00,54606.62,0.21,-85.82,29.96,18.46,-28.95,2.59,-0.50,0.04
0,13,2009,1,36.11,-6.67,0,10.44,0.02,41.10,537.00,51928.08,0.21,-85.82,32.87,18.46,-28.95,3.20,-0.57,0.04
0,13,2009,1,36.11,-6.63,0,10.00,0.02,41.10,470.00,49316.19,0.22,-81.80,29.29,18.32,-29.15,2.71,-0.57,0.04
0,13,2009,1,36.11,-6.24,0,9.00,0.02,26.08,20.00,20122.66,1.30,-88.42,65.69,16.80,-20.81,6.35,-0.82,0.04
0,13,2009,1,36.11,-6.20,0,9.00,0.02,26.08,20.00,17357.53,1.10,-85.32,55.00,16.80,-20.62,5.70,-0.82,0.04
0,13,2009,1,36.11,-6.16,0,9.22,0.02,44.11,20.00,14571.26,1.10,-85.32,54.55,16.80,-20.62,4.55,-0.85,0.04
0,13,2009,1,36.11,-6.13,1,9.33,0.02,44.11,20.00,11941.49,1.10,-85.32,63.14,16.80,-20.62,4.55,-0.70,0.04
0,13,2009,1,36.14,-6.81,0,11.00,0.02,9.06,641.00,60911.98,0.18,-88.26,18.20,18.64,-29.46,1.76,-0.60,0.04
0,13,2009,1,36.14,-6.77,0,11.22,0.02,9.06,612.00,58044.88,0.19,-86.02,24.92,18.57,-29.50,1.90,-0.60,0.04
0,13,2009,1,36.14,-6.74,0,11.11,0.02,14.03,615.00,55218.21,0.20,-84.57,24.92,18.51,-29.05,1.90,-0.67,0.04
0,13,2009,1,36.14,-6.70,0,10.66,0.02,14.03,582.00,52438.48,0.22,-83.33,29.04,18.44,-28.51,2.90,-0.70,0.04
0,13,2009,1,36.14,-6.52,0,9.00,0.03,70.46,166.00,38867.70,0.33,-62.42,71.79,17.90,-27.47,5.98,-0.77,0.04
0,13,2009,1,36.14,-6.49,1,9.44,0.03,42.68,111.00,35988.85,0.42,-64.66,69.85,17.68,-26.29,5.79,-0.77,0.04
0,13,2009,1,36.14,-6.45,1,9.66,0.03,42.68,101.00,33166.29,0.61,-72.91,69.18,17.44,-25.06,5.75,-0.85,0.04
0,13,2009,1,36.14,-6.42,1,9.77,0.03,68.75,88.00,30426.01,0.61,-72.91,65.08,17.44,-25.06,4.76,-0.85,0.04
0,13,2009,1,36.14,-6.09,0,11.66,0.01,44.11,20.00,6959.28,1.12,-77.70,66.75,16.74,-20.99,3.88,-0.52,0.04
0,13,2009,1,36.14,-6.06,0,12.11,0.01,78.94,21.00,4549.19,1.05,-72.14,66.75,16.84,-22.19,3.67,-0.62,0.04
0,13,2009,1,36.14,-6.02,0,12.00,0.01,78.94,26.00,3733.03,1.08,-73.74,70.47,17.00,-22.48,4.05,-0.62,0.04
0,13,2009,1,36.18,-6.88,0,11.00,0.02,8.12,687.00,64836.10,0.18,-87.76,18.40,18.60,-28.80,2.34,-0.39,0.04
0,13,2009,1,36.18,-6.85,1,11.66,0.02,8.12,661.00,62026.69,0.20,-87.00,18.20,18.56,-28.84,1.94,-0.50,0.04
0,13,2009,1,36.18,-6.81,0,11.88,0.02,6.14,632.00,59194.90,0.21,-85.66,19.95,18.50,-28.73,1.93,-0.50,0.04
0,13,2009,1,36.18,-6.38,1,9.77,0.03,46.91,57.00,25559.31,0.79,-74.49,54.01,17.13,-23.50,4.15,-0.99,0.04
0,13,2009,1,36.18,-6.34,1,10.00,0.03,46.91,45.00,22824.35,0.79,-74.49,60.77,17.13,-23.50,4.96,-1.02,0.04
0,13,2009,1,36.18,-6.31,1,10.22,0.02,34.14,36.00,20237.38,0.94,-70.41,71.75,16.98,-22.64,5.75,-0.87,0.04
0,13,2009,1,36.18,-6.27,0,10.88,0.02,34.14,29.00,17856.40,1.22,-62.67,68.50,16.85,-21.72,4.37,-0.69,0.04
0,13,2009,1,36.22,-6.99,0,10.00,0.02,11.96,759.00,71111.71,0.17,-86.82,6.80,18.67,-28.52,1.57,-0.07,0.04
0,13,2009,1,36.22,-6.95,0,10.66,0.02,11.96,740.00,68312.73,0.17,-86.82,10.65,18.67,-28.52,1.81,-0.27,0.04
0,13,2009,1,36.22,-6.92,0,11.11,0.02,8.12,711.00,65553.18,0.17,-91.89,14.15,18.57,-28.38,1.86,-0.27,0.04
0,13,2009,1,36.22,-6.27,0,11.00,0.02,34.14,30.00,15231.24,1.22,-61.40,68.50,16.94,-22.54,4.35,-0.87,0.04
0,13,2009,1,36.22,-6.24,1,11.11,0.02,19.23,24.00,12745.37,1.74,-62.33,62.81,16.74,-21.83,3.58,-0.72,0.04
0,13,2009,1,36.22,-6.20,1,11.88,0.02,19.23,22.00,10639.79,1.97,-71.28,51.74,16.58,-21.63,2.66,-0.72,0.04
0,13,2009,1,36.22,-6.16,1,13.00,0.01,71.42,21.00,8825.14,1.97,-71.28,55.75,16.58,-21.63,1.68,-0.62,0.04
0,13,2009,1,36.25,-7.10,0,10.66,0.01,12.28,827.00,76966.02,0.17,-85.51,7.64,18.65,-28.09,0.94,-0.07,0.05
0,13,2009,1,36.25,-7.06,0,10.33,0.01,10.10,823.00,74285.10,0.17,-86.11,7.64,18.67,-27.78,1.33,-0.12,0.05
0,13,2009,1,36.25,-7.03,0,10.00,0.01,10.10,829.00,71649.06,0.17,-90.28,6.67,18.66,-28.59,1.33,-0.12,0.05
0,13,2009,1,36.25,-6.99,0,10.00,0.01,11.96,811.00,69063.05,0.17,-90.28,6.18,18.66,-28.59,1.09,-0.05,0.04
0,13,2009,1,36.29,-7.17,0,11.22,0.01,14.56,830.00,80432.89,0.17,-85.02,4.90,18.75,-28.08,0.82,-0.10,0.05
0,13,2009,1,36.29,-7.13,1,10.88,0.01,23.79,846.00,77623.41,0.17,-88.08,5.87,18.73,-28.04,1.15,-0.07,0.05
0,13,2009,1,36.29,-7.10,0,10.11,0.01,23.79,819.00,74836.81,0.16,-85.58,5.78,18.68,-28.21,1.08,-0.07,0.05
0,13,2009,1,36.32,-7.28,0,11.00,0.01,11.73,862.00,87339.45,0.16,-84.11,6.08,18.76,-28.04,0.87,-0.22,0.05
0,13,2009,1,36.32,-7.24,0,11.11,0.01,14.56,831.00,84393.60,0.17,-85.02,4.44,18.75,-28.08,1.00,-0.10,0.05
0,13,2009,1,36.32,-7.21,0,11.77,0.01,14.56,816.00,81468.78,0.17,-85.02,4.31,18.75,-28.08,0.78,-0.10,0.05
0,13,2009,1,36.36,-7.39,0,12.11,0.01,18.66,794.00,79328.07,0.16,-88.19,6.04,18.84,-28.45,0.82,-0.07,0.05
0,13,2009,1,36.36,-7.35,0,11.55,0.01,18.66,736.00,81131.67,0.16,-88.19,7.64,18.84,-28.45,0.86,-0.10,0.05
0,13,2009,1,36.36,-7.31,1,11.00,0.01,21.91,737.00,82941.25,0.16,-84.59,6.61,18.82,-28.22,0.82,-0.15,0.05
0,13,2009,1,36.36,-6.42,0,8.55,0.03,41.07,56.00,18557.61,0.94,-62.59,75.42,17.20,-25.62,5.41,-0.74,0.04
0,13,2009,1,36.36,-6.38,1,8.77,0.03,41.07,48.00,15760.89,1.12,-68.95,64.64,17.09,-25.66,5.66,-0.75,0.04
0,13,2009,1,36.36,-6.34,0,9.22,0.03,41.07,39.00,12731.72,1.58,-67.12,64.64,16.86,-24.55,5.66,-0.92,0.04
0,13,2009,1,36.40,-7.42,0,15.00,0.01,12.35,816.00,74221.72,0.15,-93.42,6.13,18.83,-28.24,1.07,-0.04,0.05
0,13,2009,1,36.40,-7.39,0,13.22,0.01,18.66,819.00,76020.20,0.16,-86.90,6.13,18.80,-28.32,1.07,-0.04,0.05
0,13,2009,1,36.40,-6.31,1,12.22,0.02,66.66,25.00,8280.64,2.09,-72.16,66.98,16.40,-23.92,6.68,-0.94,0.04
0,13,2009,1,36.43,-7.57,0,17.00,0.01,20.29,797.00,64446.74,0.15,-96.84,9.34,18.70,-27.83,1.42,-0.09,0.05
0,13,2009,1,36.43,-6.34,0,11.44,0.03,53.06,30.00,8913.88,2.37,-66.48,73.34,16.52,-24.17,5.71,-0.94,0.04
